,name,pairname,catalogid1,catalogid2,nd_value,resolution,algm_ver,creationda,raster,fileurl,acquisitio,spec_type,sensor1,qual,dx,dy,dz,reg_src,num_gcps,meanresz,active,qc,rel_ver,acquisit_1,sensor2,st_area_sh,st_length_,geometry,clip_area,minx,miny,maxx,maxy
0,SETSM_GE01_20120820_1050410003FF2E00_1050410000768A00_seg1_2m_v3.0,GE01_20120820_1050410003FF2E00_1050410000768A00,1050410003FF2E00,1050410000768A00,-9999,2,SETSM,3.2.8,2018-04-12,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w153/SETSM_GE01_20120820_1050410003FF2E00_1050410000768A00_seg1_2m_v3.0.tar.gz,2012-08-20,DEM,GE01,0.68011229,-0.145,0.157,-3.168,ICESat,221,0,1,0,7,2012-08-20,GE01,267688220.427,63864.6552233,"POLYGON ((-2029284 637958, -2029260.000100002 638062, -2026948 646164, -2026508 647620, -2024956 651764, -2024436 653140, -2024412 653188, -2024356 653244, -2024340 653252, -2024268 653276, -2024004 653340, -2023964 653348, -2023902 653348, -2023502 653276, -2023414.000100002 653252, -2020654 652388, -2013232 650020, -2012280 649708, -2009424 648764, -2009360 648740, -2009264 648692, -2008824 648444, -2008648 648324, -2008656 648274, -2008911.999899998 647250, -2008968 647058, -2010016 643988, -2012728 636646, -2013656 634174, -2020420 634952, -2023132 635840, -2029140 637824, -2029276 637888, -2029284 637896, -2029284 637958))",267688220.426707,-2029284,634174,-2008648,653348
1,SETSM_GE01_20120812_10504100007CE100_1050410000778700_seg1_2m_v3.0,GE01_20120812_10504100007CE100_1050410000778700,10504100007CE100,1050410000778700,-9999,2,SETSM,3.2.2,2017-09-29,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w153/SETSM_GE01_20120812_10504100007CE100_1050410000778700_seg1_2m_v3.0.tar.gz,2012-08-12,DEM,GE01,0.52474905,0.188,-0.399,-0.867,ICESat,259,0,1,2,7,2012-08-12,GE01,549572952.474,101437.917904,"POLYGON ((-2087418 669438, -2087130 670422, -2086186 673254, -2082538 683876, -2082500 683876, -2082420 683852, -2049324 673276, -2049316 673268, -2049076 672082, -2049100 671994, -2053554 658414, -2053585.999899998 658350, -2053602 658334, -2054452 658582, -2058858 659982, -2087394.000100002 669368, -2087410 669376, -2087418 669384, -2087418 669438))",549572952.473708,-2087418,658334,-2049076,683876
2,SETSM_GE01_20120820_1050410003FF2E00_1050410000768A00_seg2_2m_v3.0,GE01_20120820_1050410003FF2E00_1050410000768A00,1050410003FF2E00,1050410000768A00,-9999,2,SETSM,3.2.8,2018-04-12,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w153/SETSM_GE01_20120820_1050410003FF2E00_1050410000768A00_seg2_2m_v3.0.tar.gz,2012-08-20,DEM,GE01,0.70894506,3.781,-0.982,-2.19,ICESat,42,-0.003,1,0,7,2012-08-20,GE01,117393768.036,45366.5560811,"POLYGON ((-2016832 634760, -2015352 640056, -2013440 645366, -2013040 646438, -2011824 649086, -2011728 649270, -2011712 649294, -2011688 649318, -2011536 649366, -2011482 649366, -2009124 648590, -2006156 647582, -2005836 647470, -2005779.999899998 647390, -2005532 646718, -2005564 646192, -2005668 645840, -2005820 645344, -2008564 636514, -2008620 636346, -2010212 631922, -2010252 631818, -2010281.999899998 631818, -2010458 631858, -2013552 632850, -2013600 632874, -2016824 634738, -2016832 634746, -2016832 634760))",117393768.035601,-2016832,631818,-2005532,649366
3,SETSM_GE01_20120812_10504100007A7300_1050410000751500_seg1_2m_v3.0,GE01_20120812_10504100007A7300_1050410000751500,10504100007A7300,1050410000751500,-9999,2,SETSM,3.2.2,2017-09-29,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w154/SETSM_GE01_20120812_10504100007A7300_1050410000751500_seg1_2m_v3.0.tar.gz,2012-08-12,DEM,GE01,0.52125452,-0.98,-0.374,1.334,ICESat,132,-0.018,1,0,7,2012-08-12,GE01,556117226,101616.629401,"POLYGON ((-2086408 672442, -2086400 672474, -2085632 675002, -2085088 676754, -2084376 679026, -2081816 686642, -2081792 686698, -2081776 686714, -2081282 686714, -2079882 686666, -2079074 686594, -2047922 676084, -2047906 676076, -2047890 676060, -2047890 675618, -2052408 661886, -2052552 661454, -2052586 661454, -2052738 661494, -2053786 661782, -2054018 661854, -2085904 672220, -2086400 672388, -2086408 672396, -2086408 672442))",556117226,-2086408,661454,-2047890,686714
4,SETSM_GE01_20120813_1050410000870B00_1050410000847E00_seg1_2m_v3.0,GE01_20120813_1050410000870B00_1050410000847E00,1050410000870B00,1050410000847,-9999,2,SETSM,3.2.2,2017-09-29,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w154/SETSM_GE01_20120813_1050410000870B00_1050410000847E00_seg1_2m_v3.0.tar.gz,2012-08-13,DEM,GE01,0.65853689,-1.759,-2.802,0.454,ICESat,257,-0.026,1,0,7,2012-08-13,GE01,634793654,106728.267022,"POLYGON ((-2087612 670136, -2087604 670168, -2085740 676192, -2083324 683982, -2083260 684174, -2083156 684438, -2082076 686590, -2081334 686590, -2080662 686366, -2048550 675554, -2047606 675034, -2047606 675016, -2049038 669208, -2049070 669088, -2049094 669016, -2049286 668512, -2052318 660864, -2052910 659384, -2054424 659720, -2064262 662744, -2087452 670034, -2087596 670082, -2087612 670090, -2087612 670136))",634793654,-2087612,659384,-2047606,686590
5,SETSM_W1W1_20150924_10200100430C5200_1020010043569700_seg2_2m_v3.0,W1W1_20150924_10200100430C5200_1020010043569700,10200100430C5200,1020010043569700,-9999,2,SETSM,3.2.8,2017-12-26,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w154/SETSM_W1W1_20150924_10200100430C5200_1020010043569700_seg2_2m_v3.0.tar.gz,2015-09-24,DEM,WV01,0.959193,0,0,0,,0,0,1,0,7,2015-09-24,WV01,56508735.8641,36037.2131755,"POLYGON ((-2056289.999899998 666942, -2056058 667894, -2055498 670110, -2055338 670694, -2055314 670758, -2055298 670774, -2055251.999899998 670774, -2055220 670766, -2049980 669102, -2047038 668158, -2041830.000100002 666462, -2041814 666454, -2041814 666424, -2042814 663384, -2043038 662712, -2043046 662696, -2043420 662800, -2048284 664328, -2056290 666872, -2056289.999899998 666942))",56508735.8640977,-2056290,662696,-2041814,670774
6,SETSM_W1W1_20080409_1020010001144900_1020010002229F00_seg12_2m_v3.0,W1W1_20080409_1020010001144900_1020010002229F00,1020010001144900,1020010002229F00,-9999,2,SETSM,3.2.8,2017-12-26,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n69w154/SETSM_W1W1_20080409_1020010001144900_1020010002229F00_seg12_2m_v3.0.tar.gz,2008-04-09,DEM,WV01,0.10936497,24.463,-17.691,459.411,ICESat,21,498.253,1,0,7,2008-04-16,WV01,81933364.2424,40797.416594,"POLYGON ((-2138483.335239373 702767.2407824789, -2137648 705034, -2137552 705274, -2124690 701746, -2124522 701690, -2124394 701634, -2124346 701610, -2124226 696156, -2124330 695532, -2124360.000100002 695532, -2138483.335239373 700099.0977329501, -2138483.335239373 702767.2407824789))",80761905.5693771,-2138483.33523937,695532,-2124226,705274
7,SETSM_WV01_20130411_1020010022450500_1020010021AB8500_seg1_2m_v3.0,WV01_20130411_1020010022450500_1020010021AB8500,1020010022450500,1020010021AB8500,-9999,2,SETSM,3.2.2,2017-09-28,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n69w156/SETSM_WV01_20130411_1020010022450500_1020010021AB8500_seg1_2m_v3.0.tar.gz,2013-04-11,DEM,WV01,0.92262531,-0.496,-0.16,-0.306,ICESat,4749,0,1,2,7,2013-04-11,WV01,3431252846,295975.076501,"POLYGON ((-2138483.335239373 808521.822841157, -2044552 771760, -2043432 771320, -2043399.999899998 771304, -2043400 771286, -2043408 771262, -2054944 746806, -2054968 746758, -2054976 746750, -2055026 746750, -2067464 751174, -2082546 756544, -2096054 761366, -2110158 766466, -2138483.335239373 776783.6172592668, -2138483.335239373 808521.822841157))",2716119323.54038,-2138483.33523937,746750,-2043399.9999,808521.822841157
8,SETSM_WV01_20140708_102001002F474A00_102001003026E300_seg1_2m_v3.0,WV01_20140708_102001002F474A00_102001003026E300,102001002F474A00,102001003026E300,-9999,2,SETSM,3.2.2,2017-09-28,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n69w156/SETSM_WV01_20140708_102001002F474A00_102001003026E300_seg1_2m_v3.0.tar.gz,2014-07-08,DEM,WV01,0.89348068,-0.14,0.114,-1.551,ICESat,1060,-0.001,1,0,7,2014-07-08,WV01,2053029916,263889.404212,"POLYGON ((-2138483.335239373 796695.4158215302, -2048908 763312, -2048852 763288, -2048852 763262, -2049492 761470, -2051580 755664, -2053348 750760, -2056732 747490, -2057268 747330, -2057278 747330, -2138483.335239373 777597.7671856204, -2138483.335239373 796695.4158215302))",1649098136.99233,-2138483.33523937,747330,-2048852,796695.41582153
9,SETSM_WV01_20131103_1020010027488900_102001002672E100_seg1_2m_v3.0,WV01_20131103_1020010027488900_102001002672E100,1020010027488900,1.02001002672E+111,-9999,2,SETSM,3.2.2,2017-09-28,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n69w156/SETSM_WV01_20131103_1020010027488900_102001002672E100_seg1_2m_v3.0.tar.gz,2013-11-03,DEM,WV01,0.76173063,1.683,1.686,0.641,ICESat,2990,-0.003,1,2,7,2013-11-03,WV01,2197251598.52,263100.477541,"POLYGON ((-2138483.335239373 805642.9569721668, -2046508 770642, -2046476 770626, -2046468 770618, -2046476 770592, -2048708 764514, -2052986 753028, -2053026 752924, -2053034 752916, -2053052 752916, -2053124 752940, -2055244 753716, -2108398 773404, -2138483.335239373 784753.984345386, -2138483.335239373 805642.9569721668))",1829046503.67952,-2138483.33523937,752916,-2046468,805642.956972167
